,cvm_code,data_origin,data,year,value,ticker
0,2453,dividendos,interest,2023,0.300510398,CMIG4
0,2453,dividendos,interest,2023,0.300510398,CMIG3
0,2453,dividendos,interest,2023,0.094971448,CMIG4
0,2453,dividendos,interest,2023,0.094971448,CMIG3
0,2453,dividendos,interest,2023,0.094971448,CMIG3
0,2453,dividendos,interest,2023,0.094971448,CMIG4
0,2453,dividendos,interest,2023,0.096953702,CMIG3
0,2453,dividendos,interest,2023,0.096953702,CMIG3
0,2453,dividendos,interest,2023,0.096953702,CMIG4
0,2453,dividendos,interest,2023,0.096953702,CMIG4
0,2453,dividendos,dividend,2023,0.05653493,CMIG3
0,2453,dividendos,dividend,2023,0.05653493,CMIG4
0,2453,dividendos,dividend,2023,0.05653493,CMIG4
0,2453,dividendos,dividend,2023,0.05653493,CMIG3
0,2453,dividendos,interest,2023,0.096392018,CMIG4
0,2453,dividendos,interest,2023,0.096392018,CMIG3
0,2453,dividendos,interest,2023,0.096392018,CMIG3
0,2453,dividendos,interest,2023,0.096392018,CMIG4
0,2453,dividendos,interest,2022,0.117134346,CMIG4
0,2453,dividendos,interest,2022,0.117134346,CMIG3
0,2453,dividendos,interest,2022,0.117134346,CMIG3
0,2453,dividendos,interest,2022,0.117134346,CMIG4
0,2453,dividendos,interest,2022,0.090570906,CMIG3
0,2453,dividendos,interest,2022,0.090570906,CMIG4
0,2453,dividendos,interest,2022,0.090570906,CMIG4
0,2453,dividendos,interest,2022,0.090570906,CMIG3
0,2453,dividendos,interest,2022,0.107140137,CMIG3
0,2453,dividendos,interest,2022,0.107140137,CMIG4
0,2453,dividendos,interest,2022,0.107140137,CMIG4
0,2453,dividendos,interest,2022,0.107140137,CMIG3
0,2453,dividendos,interest,2022,0.08020815,CMIG4
0,2453,dividendos,interest,2022,0.08020815,CMIG3
0,2453,dividendos,interest,2022,0.08020815,CMIG3
0,2453,dividendos,interest,2022,0.08020815,CMIG4
0,2453,dividendos,dividend,2022,0.298708964,CMIG3
0,2453,dividendos,dividend,2022,0.298708964,CMIG3
0,2453,dividendos,dividend,2022,0.298708964,CMIG4
0,2453,dividendos,dividend,2022,0.298708964,CMIG4
0,2453,dividendos,interest,2022,0.144738219,CMIG4
0,2453,dividendos,interest,2022,0.144738219,CMIG3
0,2453,dividendos,interest,2021,0.282175133,CMIG4
0,2453,dividendos,interest,2021,0.282175133,CMIG3
0,2453,dividendos,interest,2021,0.282175133,CMIG4
0,2453,dividendos,interest,2021,0.282175133,CMIG3
0,2453,dividendos,dividend,2021,0.305848067,CMIG4
0,2453,dividendos,dividend,2021,0.305848067,CMIG3
0,2453,dividendos,dividend,2021,0.305848067,CMIG3
0,2453,dividendos,dividend,2021,0.305848067,CMIG4
0,2453,dividendos,interest,2020,0.142766731,CMIG4
0,2453,dividendos,interest,2020,0.142766731,CMIG3
0,2453,dividendos,interest,2020,0.142766731,CMIG3
0,2453,dividendos,interest,2020,0.142766731,CMIG4
0,2453,dividendos,interest,2020,0.039521296,CMIG4
0,2453,dividendos,interest,2020,0.039521296,CMIG4
0,2453,dividendos,interest,2020,0.039521296,CMIG3
0,2453,dividendos,interest,2020,0.039521296,CMIG3
0,2453,dividendos,dividend,2020,0.249748339,CMIG4
0,2453,dividendos,dividend,2020,0.249748339,CMIG3
0,2453,dividendos,interest,2019,0.274312321,CMIG3
0,2453,dividendos,interest,2019,0.274312321,CMIG4
0,2453,dividendos,dividend,2019,0.450798011,CMIG3
0,2453,dividendos,dividend,2019,0.450798011,CMIG4
0,2453,dividendos,interest,2018,0.072006984,CMIG4
0,2453,dividendos,interest,2018,0.072006984,CMIG3
0,2453,dividendos,interest,2018,0.072006984,CMIG4
0,2453,dividendos,interest,2018,0.072006984,CMIG3
0,2453,dividendos,dividend,2018,0.500288822,CMIG4
0,2453,dividendos,dividend,2018,0.030572902,CMIG3
0,2453,dividendos,dividend,2017,0.12177978,CMIG3
0,2453,dividendos,dividend,2017,0.12177978,CMIG4
0,2453,dividendos,dividend,2017,0.12177978,CMIG4
0,2453,dividendos,dividend,2017,0.12177978,CMIG3
0,2453,dividendos,interest,2016,0.150999665,CMIG3
0,2453,dividendos,interest,2016,0.150999665,CMIG4
0,2453,dividendos,interest,2016,0.150999665,CMIG4
0,2453,dividendos,interest,2016,0.150999665,CMIG3
0,2453,dividendos,dividend,2016,0.344889593,CMIG3
0,2453,dividendos,dividend,2016,0.344889593,CMIG4
0,2453,dividendos,interest,2015,0.079473508,CMIG3
0,2453,dividendos,interest,2015,0.079473508,CMIG4
0,2453,dividendos,interest,2015,0.079473508,CMIG4
0,2453,dividendos,interest,2015,0.079473508,CMIG3
0,2453,dividendos,dividend,2015,0.450866721,CMIG3
0,2453,dividendos,dividend,2015,0.450866721,CMIG4
0,2453,dividendos,interest,2014,0.091394534,CMIG4
0,2453,dividendos,interest,2014,0.091394534,CMIG3
0,2453,dividendos,interest,2014,0.091394534,CMIG4
0,2453,dividendos,interest,2014,0.091394534,CMIG3
