,ticker,cvm_code,setor,estatal,year,roe,debt_ratio,vpa,lpa,dividendo
0,CMIG4,2453,energia,True,2015,0.1901035258347991,4.785396777565682,5.899813271248572,1.1215753046312935,1.2196274740000002
0,CMIG4,2453,energia,True,2016,0.025880964756616307,39.34220352856127,5.8755988123704865,0.15206616578697718,1.293777846
0,CMIG4,2453,energia,True,2017,0.06989438202121738,12.289442050487422,6.509642414208433,0.45498743372020406,0.48711912
0,CMIG4,2453,energia,True,2018,0.10927142657905192,7.565811933424164,7.240637429619486,0.7911947812762009,1.28860558
0,CMIG4,2453,energia,True,2019,0.19837615327553074,4.226187587909038,7.314763064565708,1.4510745588704776,1.4502206640000002
0,CMIG4,2453,energia,True,2020,0.16393339538698892,3.4832354375260244,7.9393025878247725,1.3015168302268227,1.228648786
0,CMIG4,2453,energia,True,2021,0.19283292137172553,2.3487808926983598,8.840748678125399,1.7047873947161416,2.3520928000000003
0,CMIG4,2453,energia,True,2022,0.18795928030259557,1.8059668319913678,9.895319365676954,1.8599171063369768,3.0645264500000002
0,CMIG3,2453,energia,True,2015,0.1901035258347991,4.785396777565682,5.899813271248572,1.1215753046312935,1.2196274740000002
0,CMIG3,2453,energia,True,2016,0.025880964756616307,39.34220352856127,5.8755988123704865,0.15206616578697718,1.293777846
0,CMIG3,2453,energia,True,2017,0.06989438202121738,12.289442050487422,6.509642414208433,0.45498743372020406,0.48711912
0,CMIG3,2453,energia,True,2018,0.10927142657905192,7.565811933424164,7.240637429619486,0.7911947812762009,0.34917374
0,CMIG3,2453,energia,True,2019,0.19837615327553074,4.226187587909038,7.314763064565708,1.4510745588704776,1.4502206640000002
0,CMIG3,2453,energia,True,2020,0.16393339538698892,3.4832354375260244,7.9393025878247725,1.3015168302268227,1.228648786
0,CMIG3,2453,energia,True,2021,0.19283292137172553,2.3487808926983598,8.840748678125399,1.7047873947161416,2.3520928000000003
0,CMIG3,2453,energia,True,2022,0.18795928030259557,1.8059668319913678,9.895319365676954,1.8599171063369768,3.0645264500000002
0,TAEE11,20257,energia,False,2015,0.20777004682361355,3.892692399466475,12.705599092074912,2.6398429182824663,5.656716057000001
0,TAEE11,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,12.503923561069527,2.502376589543142,8.112147801
0,TAEE11,20257,energia,False,2017,0.149114950206461,4.548123124860208,12.619929734639186,1.8818201939897592,5.297438553
0,TAEE11,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,13.27160088783678,3.1097486181574445,8.361754295999999
0,TAEE11,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,14.48590082174049,3.2107997370220973,5.672105064
0,TAEE11,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,17.49179424827609,6.5687494329263565,9.633058952999999
0,TAEE11,20257,energia,False,2021,0.3311585344326704,2.900131633987046,19.40428797935199,6.42589556895169,13.511108493
0,TAEE11,20257,energia,False,2022,0.22056468968153906,4.880582936279296,19.072559786089542,4.20673323065144,14.563794687000001
0,TAEE3,20257,energia,False,2015,0.20777004682361355,3.892692399466475,4.235199697358304,0.8799476394274888,2.1973674840000004
0,TAEE3,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,4.167974520356509,0.8341255298477139,2.704049268
0,TAEE3,20257,energia,False,2017,0.149114950206461,4.548123124860208,4.206643244879729,0.6272733979965864,1.765812849
0,TAEE3,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,4.4238669626122595,1.0365828727191482,2.7872514330000002
0,TAEE3,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,4.82863360724683,1.0702665790073658,1.890701688
0,TAEE3,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,5.830598082758697,2.1895831443087856,3.211019652
0,TAEE3,20257,energia,False,2021,0.3311585344326704,2.900131633987046,6.4680959931173305,2.141965189650563,4.503702834
0,TAEE3,20257,energia,False,2022,0.22056468968153906,4.880582936279296,6.357519928696513,1.4022444102171467,4.854598227
0,TAEE4,20257,energia,False,2015,0.20777004682361355,3.892692399466475,4.235199697358304,0.8799476394274888,2.197367484
0,TAEE4,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,4.167974520356509,0.8341255298477139,2.7040492679999995
0,TAEE4,20257,energia,False,2017,0.149114950206461,4.548123124860208,4.206643244879729,0.6272733979965864,1.765812849
0,TAEE4,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,4.4238669626122595,1.0365828727191482,2.7872514330000002
0,TAEE4,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,4.82863360724683,1.0702665790073658,1.890701688
0,TAEE4,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,5.830598082758697,2.1895831443087856,3.211019652
0,TAEE4,20257,energia,False,2021,0.3311585344326704,2.900131633987046,6.4680959931173305,2.141965189650563,4.503702834
0,TAEE4,20257,energia,False,2022,0.22056468968153906,4.880582936279296,6.357519928696513,1.4022444102171467,4.854598227
0,CPLE6,14311,energia,True,2015,0.08677382899819931,4.639865955619331,4.889508587640655,0.42428138206915733,1.85606
0,CPLE6,14311,energia,True,2016,0.05838320934599232,8.824852024993367,5.021486126270765,0.29317047573806204,2.50946
0,CPLE6,14311,energia,True,2017,0.07209663026402174,7.806533393546195,5.199962426980668,0.37489976848483036,5.924580000000001
0,CPLE6,14311,energia,True,2018,0.08839281855636807,6.573364062703427,5.476785569050569,0.4841085130772221,2.32532
0,CPLE6,14311,energia,True,2019,0.11722037443349359,4.182091543379633,5.89987579268321,0.6915856495294307,5.691458399999999
